text,label
Health ministry issues new advisory,0
Miracle cure doctors hide from public,1
Scientists publish climate change report,0
Ancient aliens built pyramids,1
Scientists publish climate change report,0
Miracle cure doctors hide from public,1
Government announces new education policy,0
Flat earth proof finally leaked,1
Scientists publish climate change report,0
Time traveler proves future war,1
Health ministry issues new advisory,0
Flat earth proof finally leaked,1
Central bank increases interest rates,0
Time traveler proves future war,1
Tech company releases new AI tool,0
Secret society runs global economy,1
Tech company releases new AI tool,0
Aliens secretly controlling world leaders,1
Tech company releases new AI tool,0
Secret society runs global economy,1
Government announces new education policy,0
Secret society runs global economy,1
Health ministry issues new advisory,0
Aliens secretly controlling world leaders,1
Tech company releases new AI tool,0
Aliens secretly controlling world leaders,1
Central bank increases interest rates,0
Aliens secretly controlling world leaders,1
Tech company releases new AI tool,0
Secret society runs global economy,1
Scientists publish climate change report,0
Aliens secretly controlling world leaders,1
Scientists publish climate change report,0
Flat earth proof finally leaked,1
Government announces new education policy,0
Miracle cure doctors hide from public,1
Central bank increases interest rates,0
Miracle cure doctors hide from public,1
Government announces new education policy,0
Miracle cure doctors hide from public,1
Tech company releases new AI tool,0
Time traveler proves future war,1
Central bank increases interest rates,0
Ancient aliens built pyramids,1
Health ministry issues new advisory,0
Flat earth proof finally leaked,1
Tech company releases new AI tool,0
Miracle cure doctors hide from public,1
Government announces new education policy,0
Aliens secretly controlling world leaders,1
Health ministry issues new advisory,0
Aliens secretly controlling world leaders,1
Health ministry issues new advisory,0
Ancient aliens built pyramids,1
Central bank increases interest rates,0
Ancient aliens built pyramids,1
Researchers develop new cancer treatment,0
Ancient aliens built pyramids,1
Tech company releases new AI tool,0
Flat earth proof finally leaked,1
Central bank increases interest rates,0
Aliens secretly controlling world leaders,1
Tech company releases new AI tool,0
Time traveler proves future war,1
Researchers develop new cancer treatment,0
Aliens secretly controlling world leaders,1
Tech company releases new AI tool,0
Secret society runs global economy,1
Tech company releases new AI tool,0
Ancient aliens built pyramids,1
Researchers develop new cancer treatment,0
Aliens secretly controlling world leaders,1
Government announces new education policy,0
Flat earth proof finally leaked,1
Researchers develop new cancer treatment,0
Miracle cure doctors hide from public,1
Scientists publish climate change report,0
Time traveler proves future war,1
Researchers develop new cancer treatment,0
Ancient aliens built pyramids,1
Health ministry issues new advisory,0
Time traveler proves future war,1
Health ministry issues new advisory,0
Time traveler proves future war,1
Tech company releases new AI tool,0
Miracle cure doctors hide from public,1
Scientists publish climate change report,0
Miracle cure doctors hide from public,1
Central bank increases interest rates,0
Secret society runs global economy,1
Researchers develop new cancer treatment,0
Time traveler proves future war,1
Central bank increases interest rates,0
Ancient aliens built pyramids,1
Government announces new education policy,0
Secret society runs global economy,1
Government announces new education policy,0
Ancient aliens built pyramids,1
Scientists publish climate change report,0
Miracle cure doctors hide from public,1
Tech company releases new AI tool,0
Time traveler proves future war,1
Researchers develop new cancer treatment,0
Ancient aliens built pyramids,1
Researchers develop new cancer treatment,0
Time traveler proves future war,1
Central bank increases interest rates,0
Secret society runs global economy,1
Scientists publish climate change report,0
Miracle cure doctors hide from public,1
Health ministry issues new advisory,0
Miracle cure doctors hide from public,1
Central bank increases interest rates,0
Aliens secretly controlling world leaders,1
Health ministry issues new advisory,0
Ancient aliens built pyramids,1
Researchers develop new cancer treatment,0
Aliens secretly controlling world leaders,1
Central bank increases interest rates,0
Secret society runs global economy,1
Scientists publish climate change report,0
Aliens secretly controlling world leaders,1
Researchers develop new cancer treatment,0
Flat earth proof finally leaked,1
Central bank increases interest rates,0
Ancient aliens built pyramids,1
Tech company releases new AI tool,0
Miracle cure doctors hide from public,1
Tech company releases new AI tool,0
Flat earth proof finally leaked,1
Government announces new education policy,0
Secret society runs global economy,1
Researchers develop new cancer treatment,0
Miracle cure doctors hide from public,1
Health ministry issues new advisory,0
Miracle cure doctors hide from public,1
Researchers develop new cancer treatment,0
Flat earth proof finally leaked,1
Tech company releases new AI tool,0
Time traveler proves future war,1
Tech company releases new AI tool,0
Ancient aliens built pyramids,1
Central bank increases interest rates,0
Secret society runs global economy,1
Central bank increases interest rates,0
Time traveler proves future war,1
Researchers develop new cancer treatment,0
Flat earth proof finally leaked,1
Health ministry issues new advisory,0
Miracle cure doctors hide from public,1
Central bank increases interest rates,0
Time traveler proves future war,1
Researchers develop new cancer treatment,0
Time traveler proves future war,1
Scientists publish climate change report,0
Time traveler proves future war,1
Central bank increases interest rates,0
Aliens secretly controlling world leaders,1
Tech company releases new AI tool,0
Aliens secretly controlling world leaders,1
Researchers develop new cancer treatment,0
Secret society runs global economy,1
Tech company releases new AI tool,0
Ancient aliens built pyramids,1
Scientists publish climate change report,0
Miracle cure doctors hide from public,1
Tech company releases new AI tool,0
Flat earth proof finally leaked,1
Scientists publish climate change report,0
Flat earth proof finally leaked,1
Health ministry issues new advisory,0
Secret society runs global economy,1
Health ministry issues new advisory,0
Aliens secretly controlling world leaders,1
Central bank increases interest rates,0
Ancient aliens built pyramids,1
Central bank increases interest rates,0
Aliens secretly controlling world leaders,1
Central bank increases interest rates,0
Secret society runs global economy,1
Government announces new education policy,0
Secret society runs global economy,1
Researchers develop new cancer treatment,0
Aliens secretly controlling world leaders,1
Scientists publish climate change report,0
Flat earth proof finally leaked,1
Central bank increases interest rates,0
Miracle cure doctors hide from public,1
Health ministry issues new advisory,0
Miracle cure doctors hide from public,1
Scientists publish climate change report,0
Flat earth proof finally leaked,1
Scientists publish climate change report,0
Time traveler proves future war,1
Government announces new education policy,0
Time traveler proves future war,1
Health ministry issues new advisory,0
Time traveler proves future war,1
Tech company releases new AI tool,0
Aliens secretly controlling world leaders,1
Scientists publish climate change report,0
Ancient aliens built pyramids,1
Central bank increases interest rates,0
Flat earth proof finally leaked,1
Researchers develop new cancer treatment,0
Flat earth proof finally leaked,1
Central bank increases interest rates,0
Secret society runs global economy,1
Health ministry issues new advisory,0
Ancient aliens built pyramids,1
Health ministry issues new advisory,0
Time traveler proves future war,1
Health ministry issues new advisory,0
Aliens secretly controlling world leaders,1
Tech company releases new AI tool,0
Miracle cure doctors hide from public,1
Central bank increases interest rates,0
Flat earth proof finally leaked,1
Tech company releases new AI tool,0
Ancient aliens built pyramids,1
Researchers develop new cancer treatment,0
Flat earth proof finally leaked,1
Central bank increases interest rates,0
Time traveler proves future war,1
Central bank increases interest rates,0
Miracle cure doctors hide from public,1
Tech company releases new AI tool,0
Time traveler proves future war,1
Central bank increases interest rates,0
Time traveler proves future war,1
Tech company releases new AI tool,0
Time traveler proves future war,1
Central bank increases interest rates,0
Aliens secretly controlling world leaders,1
Central bank increases interest rates,0
Ancient aliens built pyramids,1
Central bank increases interest rates,0
Miracle cure doctors hide from public,1
Central bank increases interest rates,0
Aliens secretly controlling world leaders,1
Health ministry issues new advisory,0
Ancient aliens built pyramids,1
Government announces new education policy,0
Secret society runs global economy,1
Tech company releases new AI tool,0
Aliens secretly controlling world leaders,1
Central bank increases interest rates,0
Ancient aliens built pyramids,1
Central bank increases interest rates,0
Ancient aliens built pyramids,1
Scientists publish climate change report,0
Miracle cure doctors hide from public,1
Health ministry issues new advisory,0
Ancient aliens built pyramids,1
Health ministry issues new advisory,0
Miracle cure doctors hide from public,1
Health ministry issues new advisory,0
Secret society runs global economy,1
Government announces new education policy,0
Flat earth proof finally leaked,1
Central bank increases interest rates,0
Aliens secretly controlling world leaders,1
Government announces new education policy,0
Secret society runs global economy,1
Health ministry issues new advisory,0
Ancient aliens built pyramids,1
Researchers develop new cancer treatment,0
Time traveler proves future war,1
Government announces new education policy,0
Flat earth proof finally leaked,1
Central bank increases interest rates,0
Aliens secretly controlling world leaders,1
Health ministry issues new advisory,0
Flat earth proof finally leaked,1
Health ministry issues new advisory,0
Secret society runs global economy,1
Health ministry issues new advisory,0
Time traveler proves future war,1
Central bank increases interest rates,0
Secret society runs global economy,1
Government announces new education policy,0
Miracle cure doctors hide from public,1
Central bank increases interest rates,0
Secret society runs global economy,1
Scientists publish climate change report,0
Time traveler proves future war,1
Government announces new education policy,0
Miracle cure doctors hide from public,1
Scientists publish climate change report,0
Aliens secretly controlling world leaders,1
Health ministry issues new advisory,0
Ancient aliens built pyramids,1
Researchers develop new cancer treatment,0
Time traveler proves future war,1
Government announces new education policy,0
Aliens secretly controlling world leaders,1
Researchers develop new cancer treatment,0
Ancient aliens built pyramids,1
Central bank increases interest rates,0
Miracle cure doctors hide from public,1
Tech company releases new AI tool,0
Secret society runs global economy,1
Health ministry issues new advisory,0
Ancient aliens built pyramids,1
Scientists publish climate change report,0
Ancient aliens built pyramids,1
Central bank increases interest rates,0
Aliens secretly controlling world leaders,1
Scientists publish climate change report,0
Time traveler proves future war,1
Scientists publish climate change report,0
Time traveler proves future war,1
Researchers develop new cancer treatment,0
Aliens secretly controlling world leaders,1
Tech company releases new AI tool,0
Miracle cure doctors hide from public,1
Tech company releases new AI tool,0
Flat earth proof finally leaked,1
Government announces new education policy,0
Miracle cure doctors hide from public,1
Scientists publish climate change report,0
Ancient aliens built pyramids,1
Government announces new education policy,0
Secret society runs global economy,1
Government announces new education policy,0
Aliens secretly controlling world leaders,1
Scientists publish climate change report,0
Ancient aliens built pyramids,1
Scientists publish climate change report,0
Time traveler proves future war,1
Health ministry issues new advisory,0
Secret society runs global economy,1
Central bank increases interest rates,0
Secret society runs global economy,1
Government announces new education policy,0
Time traveler proves future war,1
Tech company releases new AI tool,0
Time traveler proves future war,1
Researchers develop new cancer treatment,0
Aliens secretly controlling world leaders,1
Health ministry issues new advisory,0
Aliens secretly controlling world leaders,1
Government announces new education policy,0
Ancient aliens built pyramids,1
Researchers develop new cancer treatment,0
Miracle cure doctors hide from public,1
Government announces new education policy,0
Ancient aliens built pyramids,1
Researchers develop new cancer treatment,0
Ancient aliens built pyramids,1
Central bank increases interest rates,0
Secret society runs global economy,1
Health ministry issues new advisory,0
Ancient aliens built pyramids,1
Tech company releases new AI tool,0
Secret society runs global economy,1
Tech company releases new AI tool,0
Miracle cure doctors hide from public,1
Researchers develop new cancer treatment,0
Ancient aliens built pyramids,1
Tech company releases new AI tool,0
Miracle cure doctors hide from public,1
Tech company releases new AI tool,0
Ancient aliens built pyramids,1
Researchers develop new cancer treatment,0
Miracle cure doctors hide from public,1
Researchers develop new cancer treatment,0
Time traveler proves future war,1
Tech company releases new AI tool,0
Flat earth proof finally leaked,1
Tech company releases new AI tool,0
Flat earth proof finally leaked,1
Tech company releases new AI tool,0
Flat earth proof finally leaked,1
Tech company releases new AI tool,0
Aliens secretly controlling world leaders,1
Health ministry issues new advisory,0
Ancient aliens built pyramids,1
Tech company releases new AI tool,0
Time traveler proves future war,1
Health ministry issues new advisory,0
Aliens secretly controlling world leaders,1
Researchers develop new cancer treatment,0
Miracle cure doctors hide from public,1
Government announces new education policy,0
Ancient aliens built pyramids,1
Scientists publish climate change report,0
Aliens secretly controlling world leaders,1
Health ministry issues new advisory,0
Secret society runs global economy,1
Tech company releases new AI tool,0
Ancient aliens built pyramids,1
Government announces new education policy,0
Aliens secretly controlling world leaders,1
Government announces new education policy,0
Flat earth proof finally leaked,1
Health ministry issues new advisory,0
Miracle cure doctors hide from public,1
Scientists publish climate change report,0
Time traveler proves future war,1
Health ministry issues new advisory,0
Time traveler proves future war,1
Scientists publish climate change report,0
Miracle cure doctors hide from public,1
Researchers develop new cancer treatment,0
Aliens secretly controlling world leaders,1
Researchers develop new cancer treatment,0
Ancient aliens built pyramids,1
Health ministry issues new advisory,0
Ancient aliens built pyramids,1
Tech company releases new AI tool,0
Aliens secretly controlling world leaders,1
Scientists publish climate change report,0
Time traveler proves future war,1
Health ministry issues new advisory,0
Miracle cure doctors hide from public,1
Tech company releases new AI tool,0
Aliens secretly controlling world leaders,1
Government announces new education policy,0
Aliens secretly controlling world leaders,1
Scientists publish climate change report,0
Miracle cure doctors hide from public,1
